Date,No of patent,Level
02/02/2020,3,1
02/03/2020,2,2
03/04/2020,22,3
03/05/2020,2,4
03/06/2020,1,5
03/07/2020,2,6
03/08/2020,5,7
03/09/2020,9,8
03/10/2020,15,9
03/11/2020,7,10
03/12/2020,12,11
13/3/2020,9,12
14/3/2020,16,13
15/3/2020,6,14
16/3/2020,14,15
17/3/2020,19,16
18/3/2020,25,17
19/3/2020,29,18
20/3/2020,59,19
21/3/2020,76,20
22/3/2020,68,21
23/3/2020,102,22
24/3/2020,65,23
25/3/2020,85,24
26/3/2020,77,25
27/3/2020,149,26
28/3/2020,142,27
29/3/2020,109,28
30/3/2020,207,29
31/3/2020,271,30
04/01/2020,149,31
04/02/2020,485,32
04/03/2020,34,33
